price,year,make,model,trim,miles,transmission,drivetrain,highway_mpg,city_mpg,doors,latitude,longitude,listing_date
24599.0,2023,Hyundai,Elantra,Limited,18070.0,Automatic,FWD,52.0,49.0,4,34.076282,-83.983106,1754797608
16986.0,2021,Hyundai,Elantra,Limited,93972.0,Automatic,FWD,52.0,49.0,4,35.186854,-89.90119,1754624114
18777.0,2021,Hyundai,Elantra,N Line,43809.0,Automatic,FWD,36.0,28.0,4,35.868404,-78.722353,1754541956
22216.0,2024,Hyundai,Elantra,SEL,4665.0,CVT,FWD,41.0,31.0,4,40.135308,-75.122827,1753068780
20990.0,2022,Hyundai,Sonata,SEL,27901.0,Automatic,FWD,37.0,27.0,4,42.054537,-71.072712,1754623533
20999.0,2023,Hyundai,Sonata,SEL,50850.0,Automatic,FWD,37.0,27.0,4,39.177003,-76.617127,1754713611
16484.0,2021,Hyundai,Elantra,Blue,78613.0,Automatic,FWD,58.0,53.0,4,39.851305,-104.978422,1752287169
3911.0,2003,Hyundai,Elantra,GLS,137775.0,Manual,FWD,38.0,28.0,4,32.290325,-110.984328,1751539404
8995.0,2009,Hyundai,Elantra,GLS,88317.0,Automatic,FWD,38.0,28.0,4,33.639237,-112.345,1753421142
20990.0,2023,Hyundai,Sonata,SEL,63550.0,Automatic,FWD,37.0,27.0,4,41.208756,-111.9806,1754797910
55000.0,2024,Ford,F-150,Lariat,26308.0,Automatic,4WD,27.0,24.0,4,28.3572,-82.183005,1754797946
11590.0,2012,Hyundai,Genesis,3.8,114332.0,Automatic,RWD,32.0,23.0,4,35.373771,-80.633215,1754376360
18590.0,2017,Hyundai,Elantra,Limited,19786.0,Automatic,FWD,41.0,31.0,4,33.366134,-86.937397,1753496202
56056.0,2024,Ford,F-150,Lariat,15466.0,Automatic,4WD,27.0,24.0,4,28.3572,-82.183005,1754539970
16995.0,2017,Hyundai,Santa Fe,SE Ultimate,79806.0,Automatic,FWD,23.0,17.0,5,35.186854,-89.90119,1754882920
16800.0,2023,Hyundai,Elantra,SE,102756.0,CVT,FWD,43.0,33.0,4,35.186854,-89.90119,1754623841
21490.0,2022,Hyundai,Sonata,SEL,48510.0,Automatic,FWD,37.0,27.0,4,33.960819,-84.121177,1754709652
22592.0,2025,Hyundai,Elantra,SEL,6245.0,CVT,FWD,41.0,31.0,4,33.931973,-84.511404,1753281812
19984.0,2022,Hyundai,Elantra,Blue,48806.0,Automatic,FWD,58.0,53.0,4,39.851305,-104.978422,1751421958
19984.0,2022,Hyundai,Elantra,Limited,63397.0,Automatic,FWD,41.0,31.0,4,39.851305,-104.978422,1751421957
24499.0,2023,Hyundai,Santa Fe,SEL Convenience PHEV,39520.0,Automatic,4WD,32.0,24.0,5,25.970138,-80.205246,1754710642
18590.0,2018,Hyundai,Elantra,SE,5354.0,Automatic,FWD,43.0,33.0,4,33.44014,-112.261967,1752816760
21993.0,2025,Hyundai,Elantra,SEL,3184.0,CVT,FWD,41.0,31.0,4,40.481141,-74.863049,1753848053
64995.0,2025,Ford,F-150,Tremor,281.0,Automatic,4WD,24.0,18.0,4,45.509792,-122.967618,1751690232
54995.0,2024,Ford,F-150,Lariat,12694.0,Automatic,4WD,27.0,24.0,4,45.509792,-122.967618,1754542639
54900.0,2024,Ford,F-150,Lariat,36208.0,Automatic,4WD,27.0,24.0,4,28.3572,-82.183005,1753326374
54995.0,2024,Ford,F-150,Lariat,14510.0,Automatic,4WD,27.0,24.0,4,45.509792,-122.967618,1754542651
20797.0,2023,Hyundai,Elantra,Limited,28370.0,Automatic,FWD,41.0,31.0,4,35.868404,-78.722353,1754541587
20225.0,2024,Hyundai,Elantra,SEL,4939.0,CVT,FWD,41.0,31.0,4,38.468752,-77.399995,1752551379
57995.0,2024,Ford,F-150,Lariat,13280.0,Automatic,4WD,27.0,24.0,4,45.509792,-122.967618,1754627328
27990.0,2019,GENESIS,G90,Premium,39601.0,Automatic,RWD,25.0,17.0,4,32.883449,-96.888812,1753331696
58259.0,2024,Ford,F-150,Lariat,13728.0,Automatic,4WD,27.0,24.0,4,35.883493,-78.571211,1754023335
22997.0,2024,Hyundai,Elantra,Limited,22089.0,CVT,FWD,41.0,31.0,4,35.868404,-78.722353,1754541591
45947.0,2025,Hyundai,Palisade,Calligraphy,9758.0,Automatic,FWD,27.0,19.0,5,42.516088,-83.609025,1754709499
22486.0,2023,Hyundai,Sonata Hybrid,Blue,44230.0,Automatic,FWD,54.0,50.0,4,34.01724,-81.075345,1754710038
15990.0,2017,Hyundai,Elantra,SE,54858.0,Automatic,FWD,43.0,33.0,4,40.042158,-74.930884,1754617515
13991.0,2015,Volkswagen,Passat,SE,38997.0,Automatic,FWD,38.0,25.0,4,29.777745,-95.543887,1735701960
14590.0,2015,Volkswagen,Passat,SE,67886.0,Automatic,FWD,38.0,25.0,4,35.18082,-90.205482,1754621486
13590.0,2017,Volkswagen,Passat,SE,102478.0,Automatic,FWD,38.0,25.0,4,29.304737,-98.39608,1752821518
13990.0,2014,Volkswagen,Passat,SEL Premium,87091.0,Automatic,FWD,42.0,30.0,4,36.225749,-115.126567,1754546116
13990.0,2015,Volkswagen,Passat,SEL Premium,92456.0,Automatic,FWD,38.0,25.0,4,34.00343,-83.784309,1754446342
19990.0,2017,Volkswagen,Passat,SE,38222.0,Automatic,FWD,38.0,25.0,4,40.549286,-74.58278,1750819761
39737.0,2024,Hyundai,Palisade,Limited,32916.0,Automatic,4WD,25.0,19.0,5,43.620364,-116.298611,1754195136
23383.0,2025,Hyundai,Elantra,SEL,4855.0,CVT,FWD,41.0,31.0,4,32.011346,-81.115039,1751369755
11234.0,2017,Hyundai,Elantra,SE,70605.0,Automatic,FWD,43.0,33.0,4,35.945528,-78.536713,1754538202
38607.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,19522.0,Automatic,FWD,27.0,21.0,5,37.628285,-122.400569,1754711039
38606.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,26197.0,Automatic,FWD,27.0,21.0,5,30.330842,-97.71443,1754624014
38610.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,19424.0,Automatic,FWD,27.0,21.0,5,33.959724,-118.373132,1754624014
38606.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,18487.0,Automatic,FWD,27.0,21.0,5,37.628285,-122.400569,1754624346
38612.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,18644.0,Automatic,FWD,27.0,21.0,5,37.628285,-122.400569,1754710747
38605.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,19325.0,Automatic,FWD,27.0,21.0,5,37.32366,-121.979436,1754710616
38589.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,19811.0,Automatic,FWD,27.0,21.0,5,36.143864,-115.127092,1754710615
38583.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,19812.0,Automatic,FWD,27.0,21.0,5,35.042212,-106.6264,1754710615
38605.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,18419.0,Automatic,FWD,27.0,21.0,5,33.959724,-118.373132,1754624013
38583.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,19853.0,Automatic,FWD,27.0,21.0,5,33.931955,-117.409245,1754710615
38584.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,19188.0,Automatic,FWD,27.0,21.0,5,33.959724,-118.373132,1754624012
38582.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,20156.0,Automatic,FWD,27.0,21.0,5,32.737275,-117.17746,1754624011
38591.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,19794.0,Automatic,FWD,27.0,21.0,5,37.32366,-121.979436,1754710615
38584.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,19985.0,Automatic,FWD,27.0,21.0,5,36.143864,-115.127092,1754624012
38571.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,20025.0,Automatic,FWD,27.0,21.0,5,38.606093,-121.400902,1754710614
38605.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,25818.0,Automatic,FWD,27.0,21.0,5,42.165791,-83.174964,1754710905
13990.0,2013,Hyundai,Accent,SE,26577.0,Automatic,FWD,37.0,28.0,5,29.777745,-95.543887,1727184113
32765.0,2025,Hyundai,Sonata Hybrid,SEL,39601.0,Automatic,FWD,51.0,45.0,4,42.092896,-76.019698,1754540924
14990.0,2017,Hyundai,Elantra,SE,66911.0,Automatic,FWD,43.0,33.0,4,42.998925,-78.530147,1754373043
13590.0,2017,Hyundai,Ioniq,SEL,105813.0,Automatic,FWD,57.0,55.0,5,40.533464,-112.345336,1754447400
25990.0,2020,Hyundai,Palisade,Limited,83266.0,Automatic,4WD,25.0,19.0,5,35.458641,-80.609741,1751601456
15995.0,2021,Hyundai,Kona,NIGHT,105728.0,Automatic,4WD,29.0,26.0,5,41.601086,-93.579252,1752119902
22499.0,2022,Hyundai,Sonata,SEL,29741.0,Automatic,FWD,37.0,27.0,4,33.834327,-84.076223,1754195436
38453.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,21510.0,Automatic,FWD,27.0,21.0,5,33.959724,-118.373132,1754710294
38327.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,26868.0,Automatic,FWD,27.0,21.0,5,33.931955,-117.409245,1754710118
5495.0,2008,Hyundai,Elantra,GLS,132878.0,Automatic,FWD,43.0,33.0,4,41.601086,-93.579252,1752724956
7995.0,2016,Hyundai,Elantra GT,Base,74435.0,Automatic,FWD,37.0,27.0,5,41.601086,-93.579252,1754449429
21000.0,2023,Hyundai,Elantra,SEL,47016.0,Automatic,FWD,41.0,31.0,4,32.247599,-80.835641,1754710142
21687.0,2022,Hyundai,Kona,SEL,11927.0,CVT,4WD,33.0,28.0,5,40.481141,-74.863049,1753848198
30000.0,2022,Hyundai,Palisade,Calligraphy,79136.0,Automatic,FWD,27.0,19.0,5,35.186854,-89.90119,1754882717
36198.0,2024,Volkswagen,Atlas,SE w/Tech,21826.0,Automatic,FWD,26.0,20.0,5,39.326039,-84.511978,1754363870
18642.0,2019,Hyundai,Kona,Iron Man,69024.0,Automatic,4WD,29.0,26.0,5,39.326039,-84.511978,1754713936
19995.0,2019,Volkswagen,Atlas,SEL R-Line,111295.0,Automatic,4WD,23.0,17.0,5,43.125966,-76.114488,1754108833
4500.0,2017,Volkswagen,Passat,SE,142000.0,Automatic,FWD,38.0,25.0,4,40.7422,-74.20617,1752928521
12990.0,2017,Hyundai,Elantra GT,GT,84011.0,Automatic,FWD,37.0,27.0,5,41.459784,-87.729945,1751423645
15990.0,2013,Hyundai,Equus,Signature,54963.0,Automatic,RWD,24.0,16.0,4,39.952366,-83.104071,1754367604
17990.0,2021,Hyundai,Sonata,SEL,76307.0,Automatic,FWD,37.0,27.0,4,39.599828,-86.10368,1754882696
21590.0,2018,Volkswagen,Atlas,SE w/Tech,79805.0,Automatic,4WD,24.0,21.0,5,37.318014,-77.397499,1753585380
14990.0,2017,Volkswagen,Passat,SE,100575.0,Automatic,FWD,38.0,25.0,4,40.549286,-74.58278,1754623007
17590.0,2017,Volkswagen,Passat,SEL Premium,64332.0,Automatic,FWD,38.0,25.0,4,42.998925,-78.530147,1753933324
15990.0,2017,Volkswagen,Passat,R-Line,70659.0,Automatic,FWD,38.0,25.0,4,42.998925,-78.530147,1754535889
28590.0,2019,Volkswagen,Atlas,SE w/Tech,33036.0,Automatic,4WD,24.0,21.0,5,40.042158,-74.930884,1754546111
21990.0,2023,Hyundai,Kona,SEL,55573.0,CVT,4WD,33.0,28.0,5,41.208756,-111.9806,1754797778
31246.0,2022,Hyundai,Palisade,Calligraphy,57934.0,Automatic,FWD,27.0,19.0,5,28.988836,-81.30184,1754796787
20788.0,2023,Hyundai,Kona,Limited,46033.0,Automatic,FWD,35.0,29.0,5,29.678723,-95.539572,1754449497
21990.0,2023,Hyundai,Kona,SEL,53620.0,CVT,4WD,33.0,28.0,5,41.208756,-111.9806,1754797787
21624.0,2024,Hyundai,Elantra,SEL,28244.0,CVT,FWD,41.0,31.0,4,35.868404,-78.722353,1754541521
20897.0,2024,Hyundai,Elantra,SEL,28627.0,CVT,FWD,41.0,31.0,4,35.868404,-78.722353,1754882670
19995.0,2019,Jeep,Compass,Sport,59597.0,Automatic,FWD,32.0,23.0,5,33.960819,-84.121177,1754195396
30000.0,2022,Hyundai,Palisade,Calligraphy,96878.0,Automatic,4WD,25.0,19.0,5,35.186854,-89.90119,1754882669
20867.0,2024,Hyundai,Elantra,SEL,30640.0,CVT,FWD,41.0,31.0,4,35.868404,-78.722353,1754541521
20427.0,2023,Hyundai,Kona,SEL,52157.0,CVT,4WD,33.0,28.0,5,39.942415,-83.83363,1754710396
20413.0,2024,Hyundai,Elantra,SEL,28420.0,CVT,FWD,41.0,31.0,4,35.868404,-78.722353,1754623877
30341.0,2023,Hyundai,Santa Fe,Limited PHEV,22905.0,Automatic,4WD,32.0,24.0,5,40.21387,-80.198346,1753761892
11995.0,2016,Hyundai,Accent,SE,109013.0,Automatic,FWD,41.0,33.0,4,33.450858,-112.107393,1753325427
16755.0,2022,Hyundai,Elantra,SEL,89860.0,Automatic,FWD,41.0,31.0,4,35.868404,-78.722353,1754797004
38938.0,2023,Hyundai,Palisade,Calligraphy,39996.0,Automatic,4WD,25.0,19.0,5,45.509792,-122.967618,1753503207
28710.0,2025,Hyundai,Elantra,Blue,2.0,Automatic,FWD,58.0,53.0,4,42.092896,-76.019698,1746847835
24665.0,2025,Hyundai,Elantra,SEL,2.0,CVT,FWD,41.0,31.0,4,42.092896,-76.019698,1746843804
38569.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,20369.0,Automatic,FWD,27.0,21.0,5,37.628285,-122.400569,1754710614
15990.0,2017,Hyundai,Santa Fe,Limited Ultimate,121401.0,Automatic,4WD,22.0,17.0,5,38.840234,-94.538738,1754711834
14990.0,2016,Hyundai,Elantra,Sport,67080.0,Automatic,FWD,35.0,24.0,4,35.373771,-80.633215,1752576201
38566.0,2025,Volkswagen,Atlas,SE w/Tech,20934.0,Automatic,4WD,26.0,20.0,5,39.62704,-104.987398,1754624175
38555.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,19881.0,Automatic,FWD,27.0,21.0,5,40.691357,-111.887901,1754710447
38552.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,21002.0,Automatic,FWD,27.0,21.0,5,32.737275,-117.17746,1754623896
38543.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,21107.0,Automatic,FWD,27.0,21.0,5,33.959724,-118.373132,1754710446
38567.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,19656.0,Automatic,FWD,27.0,21.0,5,33.931955,-117.409245,1754710614
38559.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,20782.0,Automatic,FWD,27.0,21.0,5,36.143864,-115.127092,1754710731
12990.0,2017,Hyundai,Elantra,Limited,96533.0,Automatic,FWD,41.0,31.0,4,40.533464,-112.345336,1754527963
24690.0,2025,Hyundai,Elantra,SEL,2.0,CVT,FWD,41.0,31.0,4,42.092896,-76.019698,1741244462
24690.0,2025,Hyundai,Elantra,SEL,2.0,CVT,FWD,41.0,31.0,4,42.092896,-76.019698,1741318773
38529.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,20171.0,Automatic,FWD,27.0,21.0,5,32.737275,-117.17746,1754710445
38538.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,21518.0,Automatic,FWD,27.0,21.0,5,33.959724,-118.373132,1754710446
38539.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,27982.0,Automatic,FWD,27.0,21.0,5,31.981099,-102.111937,1754710446
38533.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,21624.0,Automatic,FWD,27.0,21.0,5,42.012594,-87.888266,1754623894
38532.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,21227.0,Automatic,FWD,27.0,21.0,5,36.143864,-115.127092,1754710445
38540.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,21332.0,Automatic,FWD,27.0,21.0,5,33.959724,-118.373132,1754710446
38530.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,21358.0,Automatic,FWD,27.0,21.0,5,37.32366,-121.979436,1754710445
13590.0,2016,Hyundai,Elantra GT,Base,81354.0,Automatic,FWD,37.0,27.0,5,39.824942,-85.923198,1754616497
39650.0,2025,Hyundai,Sonata Hybrid,Limited,2.0,Automatic,FWD,51.0,45.0,4,42.092896,-76.019698,1743653039
38525.0,2025,Volkswagen,Atlas Cross Sport,SE w/Tech,21792.0,Automatic,FWD,27.0,21.0,5,36.143864,-115.127092,1754710444
23981.0,2020,Hyundai,Palisade,Limited,127927.0,Automatic,4WD,25.0,19.0,5,39.952366,-83.104071,1754367610
17497.0,2020,Hyundai,IONIQ,Limited,64261.0,Automatic,FWD,57.0,55.0,5,30.174304,-81.549101,1754539900
17449.0,2023,Hyundai,Elantra,SE,24487.0,CVT,FWD,43.0,33.0,4,26.28175,-80.201171,1754107122
27920.0,2025,Hyundai,Elantra,Blue,39601.0,Automatic,FWD,58.0,53.0,4,42.092896,-76.019698,1754712444
21722.0,2022,Hyundai,Kona,SEL,29553.0,CVT,4WD,33.0,28.0,5,40.33359,-75.13698,1754796509
28668.0,2024,Toyota,RAV4,XLE,21198.0,Automatic,FWD,35.0,28.0,5,40.527114,-80.208687,1752291270
28306.0,2024,Toyota,RAV4,XLE,21571.0,Automatic,FWD,35.0,28.0,5,40.200925,-75.090452,1754489774
12499.0,2017,GENESIS,G80,Base,89511.0,Automatic,RWD,32.0,23.0,4,25.970138,-80.205246,1754107247
17990.0,2016,Acura,MDX,Base,105598.0,Automatic,4WD,27.0,18.0,5,39.599828,-86.10368,1751888067
17999.0,2020,Hyundai,Kona,SE,39601.0,Automatic,4WD,33.0,28.0,5,42.977879,-78.780095,1754796249
16995.0,2017,Volkswagen,Passat,R-Line,82926.0,Automatic,FWD,38.0,25.0,4,42.977879,-78.780095,1752900105
28057.0,2024,Toyota,RAV4,XLE,23489.0,Automatic,FWD,35.0,28.0,5,40.856025,-73.168016,1754489773
16990.0,2017,Acura,MDX,Technology Package,120741.0,Automatic,4WD,27.0,19.0,5,39.599828,-86.10368,1754201438
35000.0,2022,Honda,Ridgeline,RTL-E,30390.0,Automatic,4WD,25.0,19.0,4,42.908844,-77.69772,1754112167
47960.0,2024,RAM,Ram 2500 Pickup,Laramie,65809.0,Automatic,4WD,32.0,24.0,4,35.186854,-89.90119,1754623468
23449.0,2023,Hyundai,Sonata,SEL,26999.0,Automatic,FWD,37.0,27.0,4,32.551969,-84.94066,1753791256
43798.0,2024,Jeep,Wrangler 4-Door,Rubicon,2986.0,Manual,4WD,29.0,30.0,5,36.104428,-86.761003,1754452975
38251.0,2025,Volkswagen,Atlas,SE w/Tech,20318.0,Automatic,4WD,26.0,20.0,5,32.839461,-96.99136,1754709959
19499.0,2019,Honda,Ridgeline,Black Edition,116360.0,Automatic,4WD,25.0,19.0,4,25.970138,-80.205246,1753936131
9795.0,2015,Hyundai,Santa Fe,Limited,101395.0,Automatic,4WD,24.0,18.0,5,37.308909,-79.613326,1740805108
21344.0,2024,Hyundai,Elantra,SE,19480.0,CVT,FWD,43.0,33.0,4,35.445316,-79.127423,1754022278
18949.0,2019,Volkswagen,Atlas,SE w/Tech,54914.0,Automatic,FWD,25.0,18.0,5,41.207903,-96.023028,1747968516
58485.0,2024,Ford,F-150,Lariat,3284.0,Automatic,4WD,27.0,24.0,4,26.985653,-82.102255,1754193799
29446.0,2025,Nissan,Kicks,SR AWD,8.0,CVT,4WD,34.0,27.0,5,37.890332,-122.130024,1754445982
31499.0,2021,Volkswagen,Atlas,SEL Premium,37301.0,Automatic,4WD,23.0,17.0,5,39.111508,-77.558173,1754803047
